Region	Site	Reference	Indicator	Latitude (¡N)	Longitude (¡E)	RSL (m)	RSL +1s	RSL -1s	Age (CE)	Age +2s	Age -2s
Brittany	Arun	Stephan et al. (2015)	foraminifera	48.290	-4.240	-2.96	0.20	0.20	-872	74	119
Brittany	Arun	Stephan et al. (2015)	foraminifera	48.290	-4.240	-2.26	0.20	0.20	-422	213	319
Brittany	Arun	Stephan et al. (2015)	foraminifera	48.290	-4.240	-0.97	0.20	0.20	353	182	123
Brittany	Arun	Stephan et al. (2015)	foraminifera	48.290	-4.240	-0.61	0.20	0.20	951	83	175
Brittany	Arun	Stephan et al. (2015)	foraminifera	48.290	-4.240	-0.30	0.20	0.20	1467	167	63
Brittany	Traon	Stephan et al. (2015)	foraminifera	48.310	-4.260	-0.48	0.20	0.20	1100	116	102
Brittany	Tresseny	Stephan et al. (2015)	foraminifera	48.640	-4.400	-0.28	0.14	0.14	1450	162	27
Kiribati	Multiple	McGregor et al. (2011); Compiled in Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.23	0.10	0.05	-1050	220	219
Kiribati	Multiple	McGregor et al. (2011); Compiled in Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	0.00	0.10	0.05	-1035	188	202
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.18	0.10	0.05	-986	166	181
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.14	0.10	0.05	-887	160	125
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	0.13	0.10	0.05	-875	153	118
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.14	0.10	0.05	-863	153	118
Kiribati	Multiple	McGregor et al. (2011); Compiled in Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.07	0.10	0.05	-860	126	173
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	0.09	0.10	0.05	-853	110	146
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.12	0.10	0.05	-844	156	114
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.07	0.10	0.05	-799	165	169
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	0.10	0.10	0.05	-799	169	165
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.14	0.10	0.05	-784	144	201
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	0.06	0.10	0.05	-674	197	137
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.14	0.10	0.05	-662	140	205
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.14	0.10	0.05	-581	168	188
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.03	0.10	0.05	-557	168	173
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	0.04	0.10	0.05	-536	156	187
Kiribati	Multiple	McGregor et al. (2011); Compiled in Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.12	0.10	0.05	-401	487	487
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	0.01	0.10	0.05	-273	181	131
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.01	0.10	0.05	-240	164	137
Kiribati	Multiple	McGregor et al. (2011); Compiled in Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	0.06	0.10	0.05	-54	186	215
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.12	0.10	0.05	-1	150	168
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	0.13	0.10	0.05	5	144	166
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	0.05	0.10	0.05	28	189	195
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.03	0.10	0.05	31	37	37
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.08	0.10	0.05	52	166	160
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	0.01	0.10	0.05	54	191	199
Kiribati	Multiple	Woodroffe et al. (2012)	coral microatoll	1.980	-157.500	-0.03	0.10	0.05	70	168	162
