Time,GMSL (mm),GMSL uncertainty (mm)
1900.00,-1.57E+02,2.57E+01
1900.08,-1.55E+02,2.57E+01
1900.17,-1.56E+02,2.57E+01
1900.25,-1.58E+02,2.57E+01
1900.33,-1.58E+02,2.57E+01
1900.42,-1.57E+02,2.57E+01
1900.50,-1.57E+02,2.57E+01
1900.58,-1.56E+02,2.57E+01
1900.67,-1.57E+02,2.56E+01
1900.75,-1.56E+02,2.56E+01
1900.83,-1.57E+02,2.56E+01
1900.92,-1.55E+02,2.56E+01
1901.00,-1.56E+02,2.56E+01
1901.08,-1.55E+02,2.56E+01
1901.17,-1.56E+02,2.55E+01
1901.25,-1.56E+02,2.55E+01
1901.33,-1.57E+02,2.55E+01
1901.42,-1.57E+02,2.55E+01
1901.50,-1.56E+02,2.55E+01
1901.58,-1.55E+02,2.55E+01
1901.67,-1.55E+02,2.55E+01
1901.75,-1.56E+02,2.55E+01
1901.83,-1.56E+02,2.54E+01
1901.92,-1.52E+02,2.55E+01
1902.00,-1.57E+02,2.55E+01
1902.08,-1.54E+02,2.55E+01
1902.17,-1.55E+02,2.54E+01
1902.25,-1.54E+02,2.54E+01
1902.33,-1.53E+02,2.54E+01
1902.42,-1.52E+02,2.54E+01
1902.50,-1.53E+02,2.54E+01
1902.58,-1.53E+02,2.54E+01
1902.67,-1.51E+02,2.54E+01
1902.75,-1.53E+02,2.53E+01
1902.83,-1.51E+02,2.53E+01
1902.92,-1.54E+02,2.53E+01
1903.00,-1.55E+02,2.53E+01
1903.08,-1.53E+02,2.52E+01
1903.17,-1.53E+02,2.52E+01
1903.25,-1.53E+02,2.52E+01
1903.33,-1.53E+02,2.52E+01
1903.42,-1.52E+02,2.52E+01
1903.50,-1.53E+02,2.52E+01
1903.58,-1.53E+02,2.52E+01
1903.67,-1.53E+02,2.52E+01
1903.75,-1.53E+02,2.51E+01
1903.83,-1.53E+02,2.51E+01
1903.92,-1.52E+02,2.51E+01
1904.00,-1.53E+02,2.51E+01
1904.08,-1.51E+02,2.51E+01
1904.17,-1.54E+02,2.51E+01
1904.25,-1.53E+02,2.51E+01
1904.33,-1.50E+02,2.51E+01
1904.42,-1.49E+02,2.50E+01
1904.50,-1.50E+02,2.50E+01
1904.58,-1.49E+02,2.50E+01
1904.67,-1.50E+02,2.50E+01
1904.75,-1.52E+02,2.50E+01
1904.83,-1.51E+02,2.50E+01
1904.92,-1.50E+02,2.50E+01
1905.00,-1.51E+02,2.50E+01
